date,open,high,low,close,volume,change
06-Jul-01,1219.24,1219.24,1188.74,1190.59,10567,-28.65002
09-Jul-01,1190.59,1201.76,1189.75,1198.78,10457,8.190063
10-Jul-01,1198.78,1203.43,1179.93,1181.52,12638,-17.26001
11-Jul-01,1181.52,1184.93,1168.46,1180.18,13841,-1.339966
12-Jul-01,1180.18,1210.25,1180.18,1208.14,13940,27.95996
13-Jul-01,1208.14,1218.54,1203.61,1215.68,11217,7.540039
16-Jul-01,1215.68,1219.63,1200.05,1202.45,10398,-13.2301
17-Jul-01,1202.45,1215.36,1196.14,1214.44,12381,11.98999
18-Jul-01,1214.44,1214.44,1198.33,1207.71,13163,-6.72998
19-Jul-01,1207.71,1225.04,1205.8,1215.02,13435,7.310059
20-Jul-01,1215.02,1215.69,1207.04,1210.85,11709,-4.170044
23-Jul-01,1210.85,1215.22,1190.5,1191.03,9869,-19.81995
24-Jul-01,1191.03,1191.03,1165.54,1171.65,11987,-19.38
25-Jul-01,1171.65,1190.52,1171.28,1190.49,12807,18.83997
26-Jul-01,1190.49,1204.18,1182.65,1202.93,12139,12.44006
27-Jul-01,1202.93,1209.26,1195.99,1205.82,10153,2.889893
30-Jul-01,1205.82,1209.05,1200.41,1204.52,9091,-1.299927
31-Jul-01,1204.52,1222.74,1204.52,1211.23,11292,6.709961
01-Aug-01,1211.23,1223.04,1211.23,1215.93,13403,4.700073
02-Aug-01,1215.93,1226.27,1215.31,1220.75,12183,4.819946
03-Aug-01,1220.75,1220.75,1205.31,1214.35,9399,-6.400024
06-Aug-01,1214.35,1214.35,1197.35,1200.48,8117,-13.87
07-Aug-01,1200.47,1207.56,1195.64,1204.4,10120,3.920044
08-Aug-01,1204.4,1206.79,1181.27,1183.53,11246,-20.87
09-Aug-01,1183.53,1184.71,1174.68,1183.43,11042,-0.0999756
10-Aug-01,1183.43,1193.33,1169.55,1190.16,9609,6.72998
13-Aug-01,1190.16,1193.82,1185.12,1191.29,8376,1.130005
14-Aug-01,1191.29,1198.79,1184.26,1186.73,9646,-4.560059
15-Aug-01,1186.73,1191.21,1177.61,1178.02,10656,-8.709961
16-Aug-01,1178.02,1181.8,1166.08,1181.66,10554,3.640015
17-Aug-01,1181.66,1181.66,1156.07,1161.97,9743,-19.69006
20-Aug-01,1161.97,1171.41,1160.94,1171.41,8971,9.440063
21-Aug-01,1171.41,1179.85,1156.56,1157.26,10416,-14.15002
22-Aug-01,1157.26,1168.56,1153.34,1165.31,11108,8.050049
23-Aug-01,1165.31,1169.86,1160.96,1162.09,9862,-3.220093
24-Aug-01,1162.09,1185.15,1162.09,1184.93,10436,22.84009
27-Aug-01,1184.93,1186.85,1178.07,1179.21,8426,-5.720093
28-Aug-01,1179.21,1179.66,1161.17,1161.51,9871,-17.69995
29-Aug-01,1161.51,1166.97,1147.38,1148.56,9637,-12.94995
30-Aug-01,1148.6,1151.75,1124.87,1129.03,11570,-19.53003
31-Aug-01,1129.03,1141.83,1126.38,1133.58,9201,4.549927
04-Sep-01,1133.58,1155.4,1129.06,1132.94,11783,-0.6400146
05-Sep-01,1132.94,1135.52,1114.86,1131.74,13845,-1.199951
06-Sep-01,1131.74,1131.74,1105.83,1106.4,13597,-25.33997
07-Sep-01,1106.4,1106.4,1082.12,1085.78,14243,-20.62
10-Sep-01,1085.78,1096.94,1073.15,1092.54,12766,6.76001
17-Sep-01,1092.54,1092.54,1037.46,1038.77,23308.3,-53.77002
18-Sep-01,1038.77,1046.42,1029.25,1032.74,16504.1,-6.030029
19-Sep-01,1032.74,1038.91,984.62,1016.1,21205.5,-16.64001
20-Sep-01,1016.1,1016.1,984.49,984.54,20048,-31.56
21-Sep-01,984.54,984.54,944.75,965.8,23173,-18.73999
24-Sep-01,965.8,1008.44,965.8,1003.45,17466,37.65002
25-Sep-01,1003.45,1017.14,998.33,1012.27,16138,8.820007
26-Sep-01,1012.27,1020.29,1002.62,1007.04,15191,-5.230042
27-Sep-01,1007.04,1018.92,998.24,1018.61,14670,11.57001
28-Sep-01,1018.61,1040.94,1018.61,1040.94,16315,22.32996
01-Oct-01,1040.94,1040.94,1026.76,1038.55,11756,-2.389893
02-Oct-01,1038.55,1051.33,1034.47,1051.33,12898,12.77991
03-Oct-01,1051.33,1075.38,1041.48,1072.28,16506,20.95007
04-Oct-01,1072.28,1084.12,1067.82,1069.63,16091,-2.650024
05-Oct-01,1069.62,1072.35,1053.5,1071.38,13017,1.75
08-Oct-01,1071.37,1071.37,1056.88,1062.44,9790,-8.940063
09-Oct-01,1062.44,1063.37,1053.83,1056.75,12278,-5.689941
10-Oct-01,1056.75,1081.62,1052.76,1080.99,13124,24.23999
11-Oct-01,1080.99,1099.16,1080.99,1097.43,17045.8,16.44006
12-Oct-01,1097.43,1097.43,1072.15,1091.65,13314,-5.780029
15-Oct-01,1091.65,1091.65,1078.19,1089.98,10247,-1.670044
16-Oct-01,1089.98,1101.66,1087.13,1097.54,12105,7.560059
17-Oct-01,1097.54,1107.12,1076.57,1077.09,14522,-20.45007
18-Oct-01,1077.09,1077.94,1064.54,1068.61,12629,-8.47998
19-Oct-01,1068.61,1075.52,1057.24,1073.48,12949,4.869995
22-Oct-01,1073.48,1090.57,1070.79,1089.9,11057,16.42004
23-Oct-01,1089.9,1098.99,1081.53,1084.78,13173,-5.119995
24-Oct-01,1084.78,1090.26,1079.98,1085.2,13362,0.4199219
25-Oct-01,1085.2,1100.09,1065.64,1100.09,13644,14.89001
26-Oct-01,1100.09,1110.61,1094.24,1104.61,12445,4.52002
29-Oct-01,1104.61,1104.61,1078.3,1078.3,11061,-26.30994
30-Oct-01,1078.3,1078.3,1053.61,1059.79,12974,-18.51001
31-Oct-01,1059.79,1074.79,1057.55,1059.78,13525,-0.0100098
01-Nov-01,1059.78,1085.61,1054.31,1084.1,13174,24.31995
02-Nov-01,1084.1,1089.63,1075.58,1087.2,11219,3.099976
05-Nov-01,1087.2,1106.72,1087.2,1102.84,12677,15.64001
06-Nov-01,1102.84,1119.73,1095.36,1118.86,13560,16.02002
07-Nov-01,1118.86,1126.62,1112.98,1115.8,14113,-3.059937
08-Nov-01,1115.8,1135.75,1115.42,1118.54,15175,2.73999
09-Nov-01,1118.54,1123.02,1111.13,1120.31,10938,1.77002
12-Nov-01,1120.31,1121.71,1098.32,1118.33,9916,-1.980103
13-Nov-01,1118.33,1139.14,1118.33,1139.09,13701,20.76001
14-Nov-01,1139.09,1148.28,1132.87,1141.21,14434,2.119995
15-Nov-01,1141.21,1146.46,1135.06,1142.24,14545,1.030029
16-Nov-01,1142.24,1143.52,1129.92,1138.65,13374,-3.589966
19-Nov-01,1138.65,1151.06,1138.65,1151.06,13168,12.41003
20-Nov-01,1151.06,1152.45,1142.17,1142.66,13302,-8.400024
21-Nov-01,1142.66,1142.66,1129.78,1137.03,10293,-5.630005
23-Nov-01,1137.03,1151.05,1135.9,1150.34,4103,13.30994
26-Nov-01,1150.34,1157.88,1146.17,1157.42,11298,7.080078
27-Nov-01,1157.42,1163.38,1140.81,1149.5,12880,-7.920044
28-Nov-01,1149.5,1149.5,1128.29,1128.52,14237,-20.97998
29-Nov-01,1128.52,1140.4,1125.51,1140.2,13757,11.67993
30-Nov-01,1140.2,1143.57,1135.89,1139.45,13436,-0.75
03-Dec-01,1139.45,1139.45,1125.78,1129.9,12029,-9.549927
04-Dec-01,1129.9,1144.8,1128.86,1144.8,13185,14.90002
05-Dec-01,1143.77,1173.62,1143.77,1170.35,17653,25.54993
06-Dec-01,1170.35,1173.35,1164.43,1167.1,14879,-3.25
07-Dec-01,1167.1,1167.1,1152.66,1158.31,12482,-8.789917
10-Dec-01,1158.31,1158.31,1139.66,1139.93,12187,-18.38
11-Dec-01,1139.93,1150.89,1134.32,1136.76,13672,-3.170044
12-Dec-01,1136.76,1141.58,1126.01,1137.07,14497,0.3099365
13-Dec-01,1137.07,1137.07,1117.85,1119.38,15115,-17.68994
14-Dec-01,1119.38,1128.28,1114.53,1123.09,13068,3.709961
17-Dec-01,1123.09,1137.3,1122.66,1134.36,12604,11.27002
18-Dec-01,1134.36,1145.1,1134.36,1142.92,13540,8.560059
19-Dec-01,1142.92,1152.44,1134.75,1149.56,14849,6.640015
20-Dec-01,1149.56,1151.42,1139.93,1139.93,14905,-9.630005
21-Dec-01,1139.93,1147.46,1139.93,1144.89,16940,4.959961
24-Dec-01,1144.89,1147.83,1144.62,1144.65,4396.7,-0.2399902
26-Dec-01,1144.65,1159.18,1144.65,1149.37,7911,4.719971
27-Dec-01,1149.37,1157.13,1149.37,1157.13,8763,7.76001
28-Dec-01,1157.13,1164.64,1157.13,1161.02,9174,3.890015
31-Dec-01,1161.02,1161.16,1148.04,1148.08,9436,-12.94006
